folder_path,num_frames,falling_frame
adl-01,150,0
adl-02,180,0
adl-03,180,0
adl-04,150,0
adl-05,180,0
adl-06,230,0
adl-07,180,0
adl-08,180,0
adl-09,150,0
adl-10,300,0
adl-11,300,0
adl-12,250,0
adl-13,265,0
adl-14,235,0
adl-15,275,0
adl-16,240,0
adl-17,183,0
adl-18,265,0
adl-19,250,0
adl-20,270,0
adl-21,280,0
adl-22,240,0
adl-23,220,0
adl-24,70,0
adl-25,110,0
adl-26,95,0
adl-27,100,0
adl-28,85,0
adl-29,125,0
adl-30,400,0
adl-31,250,0
adl-32,200,0
adl-33,200,0
adl-34,191,0
adl-35,280,0
adl-36,340,0
adl-37,350,0
adl-38,345,0
adl-39,270,0
adl-40,330,0
